Name,Area,Current Year,Crop Year,Crop Type,Tillage Type,Biomass Coefficient Product,Biomass Coefficient Straw,Biomass Coefficient Roots,Biomass Coefficient Extraroot,Nitrogen Content In Product,Nitrogen Content In Straw,Nitrogen Content In Roots,Nitrogen Content In Extraroot,Nitrogen Fixation,Nitrogen Deposit,Carbon Concentration,Yield,Harvest Method,Nitrogen Fertilizer Rate,Phosphorous Fertilizer Rate,Is Irrigated,Irrigation Type,Amount Of Irrigation,Moisture Content Of Crop,Moisture Content Of Crop Percentage,PercentageOfStrawReturnedToSoil,PercentageOfRootsReturnedToSoil,PercentageOfProductYieldReturnedToSoil,Is Pesticide Used,Number Of Pesticide Passes,Fuel Energy,Herbicide Energy,Fertilizer Blend,January Precipitation,February Precipitation,March Precipitation,April Precipitation,May Precipitation,June Precipitation,July Precipitation,August Precipitation,September Precipitation,October Precipitation,November Precipitation,December Precipitation,January Potential Evapotranspiration,February Potential Evapotranspiration,March Potential Evapotranspiration,April Potential Evapotranspiration,May Potential Evapotranspiration,June Potential Evapotranspiration,July Potential Evapotranspiration,August Potential Evapotranspiration,September Potential Evapotranspiration,October Potential Evapotranspiration,November Potential Evapotranspiration,December Potential Evapotranspiration,January Mean Temperature,February Mean Temperature,March Mean Temperature,April Mean Temperature,May Mean Temperature,June Mean Temperature,July Mean Temperature,August Mean Temperature,September Mean Temperature,October Mean Temperature,November Mean Temperature,December Mean Temperature,Province,Soil Great Group,Soil functional category,Bulk Density,Soil Texture,Soil Ph,Top Layer Thickness  (mm),Proportion Of Sand In Soil,Proportion Of Clay In Soil,Proportion Of Soil Organic Carbon,Change in soil carbon (delta_C_t) (kg C ha^-1),N2O Direct (kg N2O (ha)^-1),N2O Direct (Excluding Any Manure Not Applied) (kg N2O (ha)^-1),N2O Indirect (kg N2O (ha)^-1),N2O Indirect (Excluding Any Manure Not Applied) (kg N2O (ha)^-1),Energy CO2 (kg),Upstream CO2 (kg),Total_GHG
Farm7,0.218,2025,2023,DryPeas,Reduced,0.263,0.533,0.126,0.078,0.0694,0.0316,0.0282,0.0282,0,5,0.45,5,CashCrop,0,0,No,RainFed,0,0.13,13,100,100,2,No,0,1.78,0.23,Custom,122.37,147.9,90.11,126.51,45.87,44.76,18.23,49.56,67.53,104.63,170.72,219.72,8.2956,8.9645,30.5083,44.8089,109.4819,118.4887,139.2413,112.9897,70.6747,39.7995,14.493,10.0447,3.3248,2.42,4.8235,7.5847,14.9445,15.2387,18.1803,18.8345,14.886,10.7071,5.5157,5.1926,BritishColumbia,HumoFerricPodzol,Brown,0.8,Medium,4.3000002,250,0.1,0.18,35,-2857.6143,1.1238,1.1238,0.5946,0.5946,27.1628,0,11071.6423
Farm7,0.218,2025,2023,Potatoes,Reduced,0.736,0.239,0.015,0.01,0.015,0.02,0.01,0.01,0,5,0.45,20,CashCrop,0,0,No,RainFed,0,0.75,75,100,100,0,No,0,1.78,0.23,Custom,122.37,147.9,90.11,126.51,45.87,44.76,18.23,49.56,67.53,104.63,170.72,219.72,8.2956,8.9645,30.5083,44.8089,109.4819,118.4887,139.2413,112.9897,70.6747,39.7995,14.493,10.0447,3.3248,2.42,4.8235,7.5847,14.9445,15.2387,18.1803,18.8345,14.886,10.7071,5.5157,5.1926,BritishColumbia,HumoFerricPodzol,Brown,0.8,Medium,4.3000002,250,0.1,0.18,35,-1375.3154,0.3421,0.3421,0.186,0.186,27.1628,0,5311.594433
Farm7,0.218,2025,2023,Vegetables,Reduced,0,0,0,0,0.02,0.02,0.01,0.01,0,5,0.45,27,CashCrop,0,0,No,RainFed,0,0.8,80,100,100,2,No,0,1.78,0.23,Custom,122.37,147.9,90.11,126.51,45.87,44.76,18.23,49.56,67.53,104.63,170.72,219.72,8.2956,8.9645,30.5083,44.8089,109.4819,118.4887,139.2413,112.9897,70.6747,39.7995,14.493,10.0447,3.3248,2.42,4.8235,7.5847,14.9445,15.2387,18.1803,18.8345,14.886,10.7071,5.5157,5.1926,BritishColumbia,HumoFerricPodzol,Brown,0.8,Medium,4.3000002,250,0.1,0.18,35,0.0185,0.0309,0.0309,0.0233,0.0233,27.1628,0,139.3287667
Farm7,0.218,2025,2024,Vegetables,Reduced,0,0,0,0,0.02,0.02,0.01,0.01,0,5,0.45,10,CashCrop,0,0,No,RainFed,0,0.8,80,100,100,2,No,0,1.78,0.23,Custom,122.37,147.9,90.11,126.51,45.87,44.76,18.23,49.56,67.53,104.63,170.72,219.72,8.2956,8.9645,30.5083,44.8089,109.4819,118.4887,139.2413,112.9897,70.6747,39.7995,14.493,10.0447,3.3248,2.42,4.8235,7.5847,14.9445,15.2387,18.1803,18.8345,14.886,10.7071,5.5157,5.1926,BritishColumbia,HumoFerricPodzol,Brown,0.8,Medium,4.3000002,250,0.1,0.18,35,-0.0281,0.0309,0.0309,0.0233,0.0233,27.1628,0,139.4996333
Farm8,2.891,2025,2023,BeansDryField,Reduced,0.539,0.412,0.03,0.019,0.042,0.01,0.01,0.01,0,5,0.45,245,CashCrop,0,0,No,RainFed,0,0.13,13,100,100,2,No,0,1.78,0.23,Custom,45.86,79.62,59.75,93.06,78.91,83.42,73.96,133.39,45.32,30.87,72.37,96.87,0,0,0,12.9559,96.1642,107.3518,135.8303,103.6817,60.1698,24.7209,0.1003,0.0492,-8.7852,-9.4914,-8.0161,-1.075,12.1535,13.998,16.8397,15.6726,10.254,3.9952,-5.1357,-5.9103,BritishColumbia,HumoFerricPodzol,Brown,0.2,Medium,4.8000002,30,-0.09,-0.09,389.000015,-1473.5275,0.4384,0.4384,0.2289,0.2289,360.2186,0,5709.707067
Farm8,2.891,2025,2023,Vegetables,Reduced,0,0,0,0,0.02,0.02,0.01,0.01,0,5,0.45,1944.173333,CashCrop,0,0,No,RainFed,0,0.8,80,100,100,2,No,0,1.78,0.23,Custom,45.86,79.62,59.75,93.06,78.91,83.42,73.96,133.39,45.32,30.87,72.37,96.87,0,0,0,12.9559,96.1642,107.3518,135.8303,103.6817,60.1698,24.7209,0.1003,0.0492,-8.7852,-9.4914,-8.0161,-1.075,12.1535,13.998,16.8397,15.6726,10.254,3.9952,-5.1357,-5.9103,BritishColumbia,HumoFerricPodzol,Brown,0.2,Medium,4.8000002,30,-0.09,-0.09,389.000015,0,0.0519,0.0519,0.0321,0.0321,360.2186,0,147.532
Farm8,1.075,2025,2023,BerriesAndGrapes,Reduced,0,0,0,0,0.007,0.02,0.01,0.01,0,5,0.45,204.5094488,CashCrop,0,0,No,RainFed,0,0.85,85,100,100,2,No,0,1.78,0.23,Custom,45.86,79.62,59.75,93.06,78.91,83.42,73.96,133.39,45.32,30.87,72.37,96.87,0,0,0,12.9559,96.1642,107.3518,135.8303,103.6817,60.1698,24.7209,0.1003,0.0492,-8.7852,-9.4914,-8.0161,-1.075,12.1535,13.998,16.8397,15.6726,10.254,3.9952,-5.1357,-5.9103,BritishColumbia,HumoFerricPodzol,Brown,0.2,Medium,4.8000002,30,-0.09,-0.09,389.000015,0.2253,0.0504,0.0504,0.0313,0.0313,133.945,0,146.078
Farm8,1.075,2025,2024,BerriesAndGrapes,Reduced,0,0,0,0,0.007,0.02,0.01,0.01,0,5,0.45,11.34,CashCrop,0,0,No,RainFed,0,0.85,85,100,100,2,No,0,1.78,0.23,Custom,45.86,79.62,59.75,93.06,78.91,83.42,73.96,133.39,45.32,30.87,72.37,96.87,0,0,0,12.9559,96.1642,107.3518,135.8303,103.6817,60.1698,24.7209,0.1003,0.0492,-8.7852,-9.4914,-8.0161,-1.075,12.1535,13.998,16.8397,15.6726,10.254,3.9952,-5.1357,-5.9103,BritishColumbia,HumoFerricPodzol,Brown,0.2,Medium,4.8000002,30,-0.09,-0.09,389.000015,-0.2042,0.0505,0.0505,0.0313,0.0313,133.945,0,147.6801333
Farm8,1.075,2025,2023,DryPeas,Reduced,0.245,0.49,0.162,0.103,0.0704,0.0304,0.0225,0.0225,0,5,0.45,108,CashCrop,0,0,No,RainFed,0,0.13,13,100,100,2,No,0,1.78,0.23,Custom,45.86,79.62,59.75,93.06,78.91,83.42,73.96,133.39,45.32,30.87,72.37,96.87,0,0,0,12.9559,96.1642,107.3518,135.8303,103.6817,60.1698,24.7209,0.1003,0.0492,-8.7852,-9.4914,-8.0161,-1.075,12.1535,13.998,16.8397,15.6726,10.254,3.9952,-5.1357,-5.9103,BritishColumbia,HumoFerricPodzol,Brown,0.2,Medium,4.8000002,30,-0.09,-0.09,389.000015,-2600.7634,1.7013,1.7013,0.8722,0.8722,133.945,0,10363.29797
Farm8,1.075,2025,2023,Vegetables,Reduced,0,0,0,0,0.02,0.02,0.01,0.01,0,5,0.45,505.2,CashCrop,0,0,No,RainFed,0,0.8,80,100,100,2,No,0,1.78,0.23,Custom,45.86,79.62,59.75,93.06,78.91,83.42,73.96,133.39,45.32,30.87,72.37,96.87,0,0,0,12.9559,96.1642,107.3518,135.8303,103.6817,60.1698,24.7209,0.1003,0.0492,-8.7852,-9.4914,-8.0161,-1.075,12.1535,13.998,16.8397,15.6726,10.254,3.9952,-5.1357,-5.9103,BritishColumbia,HumoFerricPodzol,Brown,0.2,Medium,4.8000002,30,-0.09,-0.09,389.000015,0.5441,0.0506,0.0506,0.0314,0.0314,133.945,0,144.9909667
Farm8,1.075,2025,2025,Vegetables,Reduced,0,0,0,0,0.02,0.02,0.01,0.01,0,5,0.45,6,CashCrop,0,0,No,RainFed,0,0.8,80,100,100,2,No,0,1.78,0.23,Custom,45.86,79.62,59.75,93.06,78.91,83.42,73.96,133.39,45.32,30.87,72.37,96.87,0,0,0,12.9559,96.1642,107.3518,135.8303,103.6817,60.1698,24.7209,0.1003,0.0492,-8.7852,-9.4914,-8.0161,-1.075,12.1535,13.998,16.8397,15.6726,10.254,3.9952,-5.1357,-5.9103,BritishColumbia,HumoFerricPodzol,Brown,0.2,Medium,4.8000002,30,-0.09,-0.09,389.000015,-0.7982,0.0511,0.0511,0.0314,0.0314,133.945,0,150.0492333
Farm8,1.34,2025,2023,BerriesAndGrapes,Reduced,0,0,0,0,0.007,0.02,0.01,0.01,0,5,0.45,347.5,CashCrop,0,0,No,RainFed,0,0.85,85,100,100,2,No,0,1.78,0.23,Custom,45.86,79.62,59.75,93.06,78.91,83.42,73.96,133.39,45.32,30.87,72.37,96.87,0,0,0,12.9559,96.1642,107.3518,135.8303,103.6817,60.1698,24.7209,0.1003,0.0492,-8.7852,-9.4914,-8.0161,-1.075,12.1535,13.998,16.8397,15.6726,10.254,3.9952,-5.1357,-5.9103,BritishColumbia,HumoFerricPodzol,Brown,0.2,Medium,4.8000002,30,-0.09,-0.09,389.000015,-0.2985,0.0505,0.0505,0.0313,0.0313,166.964,0,148.0259
Farm8,1.34,2025,2024,BerriesAndGrapes,Reduced,0,0,0,0,0.007,0.02,0.01,0.01,0,5,0.45,1261.69,CashCrop,0,0,No,RainFed,0,0.85,85,100,100,2,No,0,1.78,0.23,Custom,45.86,79.62,59.75,93.06,78.91,83.42,73.96,133.39,45.32,30.87,72.37,96.87,0,0,0,12.9559,96.1642,107.3518,135.8303,103.6817,60.1698,24.7209,0.1003,0.0492,-8.7852,-9.4914,-8.0161,-1.075,12.1535,13.998,16.8397,15.6726,10.254,3.9952,-5.1357,-5.9103,BritishColumbia,HumoFerricPodzol,Brown,0.2,Medium,4.8000002,30,-0.09,-0.09,389.000015,1.2794,0.0506,0.0506,0.0313,0.0313,166.964,0,142.2675667
Farm8,1.34,2025,2024,OtherFieldCrops,Reduced,0,0,0,0,0.03325,0.00975,0.01,0.01,0,5,0.45,30,CashCrop,0,0,No,RainFed,0,0.1,10,100,100,2,No,0,1.78,0.23,Custom,45.86,79.62,59.75,93.06,78.91,83.42,73.96,133.39,45.32,30.87,72.37,96.87,0,0,0,12.9559,96.1642,107.3518,135.8303,103.6817,60.1698,24.7209,0.1003,0.0492,-8.7852,-9.4914,-8.0161,-1.075,12.1535,13.998,16.8397,15.6726,10.254,3.9952,-5.1357,-5.9103,BritishColumbia,HumoFerricPodzol,Brown,0.2,Medium,4.8000002,30,-0.09,-0.09,389.000015,0,0.0506,0.0506,0.0314,0.0314,166.964,0,146.986
Farm8,1.34,2025,2025,Vegetables,Reduced,0,0,0,0,0.02,0.02,0.01,0.01,0,5,0.45,20,CashCrop,0,0,No,RainFed,0,0.8,80,100,100,2,No,0,1.78,0.23,Custom,45.86,79.62,59.75,93.06,78.91,83.42,73.96,133.39,45.32,30.87,72.37,96.87,0,0,0,12.9559,96.1642,107.3518,135.8303,103.6817,60.1698,24.7209,0.1003,0.0492,-8.7852,-9.4914,-8.0161,-1.075,12.1535,13.998,16.8397,15.6726,10.254,3.9952,-5.1357,-5.9103,BritishColumbia,HumoFerricPodzol,Brown,0.2,Medium,4.8000002,30,-0.09,-0.09,389.000015,0,0.0504,0.0504,0.0313,0.0313,166.964,0,146.9041
Farm9,0.141,2025,2023,Vegetables,Reduced,0,0,0,0,0.02,0.02,0.01,0.01,0,5,0.45,90.7184,CashCrop,0,0,No,RainFed,0,0.8,80,100,100,2,No,0,1.78,0.23,Custom,122.37,147.9,90.11,126.51,45.87,44.76,18.23,49.56,67.53,104.63,170.72,219.72,8.2956,8.9645,30.5083,44.8089,109.4819,118.4887,139.2413,112.9897,70.6747,39.7995,14.493,10.0447,3.3248,2.42,4.8235,7.5847,14.9445,15.2387,18.1803,18.8345,14.886,10.7071,5.5157,5.1926,BritishColumbia,Humisol,Brown,0.35,Medium,2.9000001,200,-0.09,-0.09,580,0,0.031,0.031,0.0233,0.0233,17.5686,0,139.4239
Farm9,0.603,2025,2023,Vegetables,Reduced,0,0,0,0,0.02,0.02,0.01,0.01,0,5,0.45,36.28736,CashCrop,0,0,No,RainFed,0,0.8,80,100,100,2,No,0,1.78,0.23,Custom,122.37,147.9,90.11,126.51,45.87,44.76,18.23,49.56,67.53,104.63,170.72,219.72,8.2956,8.9645,30.5083,44.8089,109.4819,118.4887,139.2413,112.9897,70.6747,39.7995,14.493,10.0447,3.3248,2.42,4.8235,7.5847,14.9445,15.2387,18.1803,18.8345,14.886,10.7071,5.5157,5.1926,BritishColumbia,Humisol,Brown,0.35,Medium,2.9000001,200,-0.09,-0.09,580,-0.7951,0.0311,0.0311,0.0234,0.0234,75.1338,0,142.3938667
Farm9,0.603,2025,2024,Vegetables,Reduced,0,0,0,0,0.02,0.02,0.01,0.01,0,5,0.45,453.138408,CashCrop,0,0,No,RainFed,0,0.8,80,100,100,2,No,0,1.78,0.23,Custom,122.37,147.9,90.11,126.51,45.87,44.76,18.23,49.56,67.53,104.63,170.72,219.72,8.2956,8.9645,30.5083,44.8089,109.4819,118.4887,139.2413,112.9897,70.6747,39.7995,14.493,10.0447,3.3248,2.42,4.8235,7.5847,14.9445,15.2387,18.1803,18.8345,14.886,10.7071,5.5157,5.1926,BritishColumbia,Humisol,Brown,0.35,Medium,2.9000001,200,-0.09,-0.09,580,0.5658,0.031,0.031,0.0233,0.0233,75.1338,0,137.3493
Farm9,0.603,2025,2025,Vegetables,Reduced,0,0,0,0,0.02,0.02,0.01,0.01,0,5,0.45,453.138408,CashCrop,0,0,No,RainFed,0,0.8,80,100,100,2,No,0,1.78,0.23,Custom,122.37,147.9,90.11,126.51,45.87,44.76,18.23,49.56,67.53,104.63,170.72,219.72,8.2956,8.9645,30.5083,44.8089,109.4819,118.4887,139.2413,112.9897,70.6747,39.7995,14.493,10.0447,3.3248,2.42,4.8235,7.5847,14.9445,15.2387,18.1803,18.8345,14.886,10.7071,5.5157,5.1926,BritishColumbia,Humisol,Brown,0.35,Medium,2.9000001,200,-0.09,-0.09,580,0.0819,0.0313,0.0313,0.0234,0.0234,75.1338,0,139.2328
Farm10,23.596,2025,2024,Potatoes,Reduced,0.736,0.239,0.015,0.01,0.015,0.02,0.01,0.01,0,5,0.45,35.2,CashCrop,0,0,No,RainFed,0,0.75,75,100,100,0,No,0,1.78,0.23,Custom,252.84,143.89,107.95,113.13,91.98,91.1,30.4,119.08,78.59,249.68,219.56,239.24,7.485,13.5648,33.8219,56.574,84.2535,98.2298,145.3637,102.7436,67.9045,30.7679,10.0213,8.2924,1.6384,4.0428,5.8971,7.931,11.3035,13.8203,19.0881,17.9316,14.5547,8.7235,4.046,3.8787,BritishColumbia,HumoFerricPodzol,Brown,0.9,Medium,6.4000001,200,0.12,0.09,40,-1368.3974,1.7729,1.7729,0.345,0.345,2940.0616,0,5720.243833
Farm10,23.596,2025,2024,Vegetables,Reduced,0,0,0,0,0.02,0.02,0.01,0.01,0,5,0.45,38250,CashCrop,0,0,No,RainFed,0,0.8,80,100,100,2,No,0,1.78,0.23,Custom,252.84,143.89,107.95,113.13,91.98,91.1,30.4,119.08,78.59,249.68,219.56,239.24,7.485,13.5648,33.8219,56.574,84.2535,98.2298,145.3637,102.7436,67.9045,30.7679,10.0213,8.2924,1.6384,4.0428,5.8971,7.931,11.3035,13.8203,19.0881,17.9316,14.5547,8.7235,4.046,3.8787,BritishColumbia,HumoFerricPodzol,Brown,0.9,Medium,6.4000001,200,0.12,0.09,40,0,0.2547,0.2547,0.0537,0.0537,2940.0616,0,208.7932
Farm11,0.542,2025,2025,Vegetables,Reduced,0,0,0,0,0.02,0.02,0.01,0.01,0,5,0.45,500,CashCrop,0,0,No,RainFed,0,0.8,80,100,100,2,No,0,1.78,0.23,Custom,38.7,74.88,129.24,45.6,54.71,25.25,18.84,43.88,-2986.36,0,0,0,10.1907,9.2689,30.4572,74.2202,98.6415,117.2405,146.9924,119.8482,44.2159,0,0,0,3.0558,2.17,5.8852,9.3513,11.5732,14.7357,18.1006,19.4239,-142.1216,0,0,0,BritishColumbia,DystricBrunisol,Brown,1,Fine,5.4000001,90,0.09,0.18,37,0,0.0036,0.0036,0.0141,0.0141,67.5332,0,129.4321
Farm12,0.157,2025,2025,Vegetables,Reduced,0,0,0,0,0.02,0.02,0.01,0.01,0,5,0.45,272.1552,CashCrop,0,0,No,RainFed,0,0.8,80,100,100,2,No,0,1.78,0.23,Custom,62.47,149.26,221.31,85.32,85.68,53.59,36.88,102.71,-2973.2,0,0,0,4.21,7.545,24.4089,65.1556,83.5765,103.8241,126.2214,107.2414,42.9634,0,0,0,0.9635,0.0711,4.9919,8.439,10.8361,13.909,16.341,18.4223,-143.1905,0,0,0,BritishColumbia,Humisol,Brown,0.35,Medium,2.9000001,200,-0.09,-0.09,580,0,0.0035,0.0035,0.0141,0.0141,19.5622,0,129.4048
